tratamento,ate_original,refutador,resultado,status,erro
TRAN_MENT,0.09227083271562808,random_common_cause,"Refute: Add a random common cause
Estimated effect:0.09227083271562808
New effect:0.09212813914470719
p value:0.020000000000000018
",ok,
TRAN_MENT,0.09227083271562808,data_subset_refuter,"Refute: Use a subset of data
Estimated effect:0.09227083271562808
New effect:0.0922799841865254
p value:1.0
",ok,
OUT_VEZES,0.049179258509999046,random_common_cause,"Refute: Add a random common cause
Estimated effect:0.049179258509999046
New effect:0.049181881337212366
p value:0.86
",ok,
OUT_VEZES,0.049179258509999046,data_subset_refuter,"Refute: Use a subset of data
Estimated effect:0.049179258509999046
New effect:0.04913137441234798
p value:0.98
",ok,
